trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
201,False,"{'a': 0.8179124315538594, 'e': 0.13398867466880496}",25,15,20.899560875357796,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.8170949279422366, 'e': 0.13265546508012174}",20,2,26.16804251203098,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.8162782414256099, 'e': 0.13133552114849306}",30,16,28.640675025197257,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.8154623711872927, 'e': 0.13002871087842593}",30,4,32.01316679688259,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.8146473164114145, 'e': 0.12873490358780426}",25,7,28.298578395066208,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.8138330762829207, 'e': 0.12745396989482075}",25,4,29.691589315800073,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.813019649987571, 'e': 0.12618578170503877}",30,15,4.479162615224993,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.8122070367119391, 'e': 0.12493021219858243}",20,0,-33.04456358787651,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
209,False,"{'a': 0.8113952356434114, 'e': 0.12368713581745484}",20,14,-29.721065445940614,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
210,False,"{'a': 0.8105842459701871, 'e': 0.12245642825298192}",20,15,9.480181270780793,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.8097740668812763, 'e': 0.1212379664333817}",35,7,36.619727311326194,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
212,False,"{'a': 0.8089646975664999, 'e': 0.12003162851145674}",30,9,-8.965318235269516,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 0}",1
213,False,"{'a': 0.8081561372164884, 'e': 0.11883729385240967}",25,7,-43.43097244314501,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
214,False,"{'a': 0.8073483850226815, 'e': 0.1176548430217792}",20,0,7.646233577968157,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
215,False,"{'a': 0.8065414401773269, 'e': 0.11648415777349698}",25,17,13.042074402945659,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.8057353018734796, 'e': 0.11532512103806253}",20,13,10.526223375913748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.8049299693050015, 'e': 0.11417761691083651}",20,16,9.602007907278647,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.8041254416665596, 'e': 0.11304153064044986}",25,14,22.202157081765282,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.8033217181536265, 'e': 0.11191674861732889}",30,19,6.465423420231749,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
220,False,"{'a': 0.8025187979624785, 'e': 0.11080315836233387}",20,14,11.675477153147083,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.8017166802901953, 'e': 0.10970064851551142}",20,11,6.331741263964306,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
222,False,"{'a': 0.8009153643346592, 'e': 0.10860910882495797}",25,0,21.542589179228752,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
223,False,"{'a': 0.8001148492945541, 'e': 0.10752843013579497}",20,12,2.0668784311014443,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.7993151343693651, 'e': 0.10645850437925282}",20,16,8.276512881726028,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.7985162187593771, 'e': 0.10539922456186435}",20,16,5.142534554749689,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.7977181016656743, 'e': 0.10435048475476501}",20,0,4.360411860710228,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
227,False,"{'a': 0.7969207822901396, 'e': 0.10331218008310021}",30,14,25.58333727236674,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.7961242598354538, 'e': 0.10228420671553745}",30,7,-7.582073826615766,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
229,False,"{'a': 0.795328533505094, 'e': 0.10126646185388341}",25,18,12.690962737142382,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.794533602503334, 'e': 0.10025884372280372}",20,8,-33.9602444158926,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
231,False,"{'a': 0.7937394660352428, 'e': 0.09926125155964566}",25,18,15.403688763787985,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.7929461233066837, 'e': 0.09827358560436156}",25,17,13.735970570391359,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.792153573524314, 'e': 0.09729574708953277}",20,14,15.70429188020474,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.7913618158955839, 'e': 0.09632763823049305}",20,10,19.594522225575083,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.7905708496287356, 'e': 0.09536916221554963}",25,5,31.18094396659158,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.7897806739328027, 'e': 0.09442022319630236}",20,9,14.264928606954914,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
